RegionCode,DataType,MatchKey
11000,dam,D_CJ
26000,dam,D_AD
26710,dam,D_AD
27000,dam,D_AD
27710,dam,D_AD
28000,dam,D_CJ
28710,dam,D_CJ
28720,dam,D_SYG
29000,dam,D_JA
30000,dam,D_DC
31000,dam,D_SY
36110,dam,D_DC
41110,dam,D_SYG
41130,dam,D_CJ
41150,dam,D_SYG
41170,dam,D_SYG
41190,dam,D_SYG
41210,dam,D_CJ
41220,dam,D_SYG
41270,dam,D_CJ
41280,dam,D_SYG
41290,dam,D_CJ
41310,dam,D_CJ
41360,dam,D_SYG
41370,dam,D_SYG
41390,dam,D_SYG
41410,dam,D_SYG
41430,dam,D_SYG
41450,dam,D_SYG
41460,dam,D_SYG
41480,dam,D_CJ
41500,dam,D_CJ
41550,dam,D_CJ
41570,dam,D_CJ
41590,dam,D_SYG
41610,dam,D_SYG
41630,dam,D_SYG
41650,dam,D_SYG
41670,dam,D_CJ
41820,dam,D_SYG
41830,dam,D_SYG
42110,dam,D_SYG
42130,dam,D_HS
42190,dam,D_GD
42730,dam,D_HS
42770,dam,D_GD
43110,dam,D_DC
43130,dam,D_CJ
43730,dam,D_DC
43745,dam,D_CJ
43750,dam,D_CJ
43760,dam,D_CJ
43770,dam,D_CJ
43800,dam,D_CJ
44130,dam,D_DC
44150,dam,D_DC
44180,dam,D_BR
44200,dam,D_DC
44210,dam,D_BR
44230,dam,D_DC
44250,dam,D_DC
44270,dam,D_DC
44710,dam,D_YD
44760,dam,D_DC
44770,dam,D_YD
44790,dam,D_DC
44800,dam,D_BR
44825,dam,D_BR
45110,dam,D_YD
45130,dam,D_YD
45140,dam,D_YD
45180,dam,D_SJG
45210,dam,D_YD
45710,dam,D_YD
45720,dam,D_YD
45790,dam,D_BA
45800,dam,D_BA
46110,dam,D_JH
46130,dam,D_JA
46150,dam,D_JA
46170,dam,D_JA
46230,dam,D_SJG
46710,dam,D_PL
46770,dam,D_JA
46780,dam,D_JA
46790,dam,D_JA
46800,dam,D_JH
46810,dam,D_JH
46820,dam,D_JH
46840,dam,D_JH
46860,dam,D_JA
46880,dam,D_PL
46890,dam,D_JH
46900,dam,D_JH
46910,dam,D_JH
47110,dam,D_YC
47130,dam,D_IH
47150,dam,D_IH
47190,dam,D_IH
47230,dam,D_YC
47250,dam,D_IH
47290,dam,D_UM
47750,dam,D_IH
47820,dam,D_UM
47830,dam,D_AD
47840,dam,D_AD
47850,dam,D_AD
47900,dam,D_IH
48120,dam,D_HC
48170,dam,D_NG
48220,dam,D_NG
48240,dam,D_NG
48270,dam,D_MY
48310,dam,D_NG
48330,dam,D_MY
48720,dam,D_HC
48730,dam,D_HC
48740,dam,D_MY
48820,dam,D_NG
48840,dam,D_NG
48850,dam,D_NG
48890,dam,D_HC
41250,flow,1023660
41800,flow,1023660
42170,flow,1302668
42230,flow,1303680
42720,flow,1014650
42750,flow,1002685
42760,flow,1002695
42780,flow,1022626
42800,flow,1010640
42810,flow,1012650
42830,flow,1301658
43150,flow,1002695
43740,flow,3004690
45730,flow,3003680
46730,flow,4009610
47170,flow,2002692
47760,flow,2002692
47920,flow,2001630
48250,flow,2020615
48860,flow,2018645
48870,flow,2018620
42150,AgriDam,4215010007
44810,AgriDam,4481010021
45190,AgriDam,4519010159
45740,AgriDam,4519010159
45750,AgriDam,4519010159
45770,AgriDam,4519010159
46720,AgriDam,4519010159
48880,AgriDam,4888010186
